CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
24602.r005	person	associatedWith	24602.c01	ArchivalResource	referencedIn	24602.xml
29911.c01	person	correspondedWith	29911.r001	ArchivalResource	creatorOf	29911.xml
29911.r001	person	correspondedWith	29911.c01	ArchivalResource	referencedIn	29911.xml
25656.c01				ArchivalResource	creatorOf	25656.xml
24576.c01	person	associatedWith	24576.r001	ArchivalResource	creatorOf	24576.xml
	person	associatedWith	24576.r002
	person	associatedWith	24576.r003
	person	associatedWith	24576.r004
	person	associatedWith	24576.r005
	person	associatedWith	24576.r006
	person	associatedWith	24576.r007
	person	associatedWith	24576.r008
	person	associatedWith	24576.r009
	person	associatedWith	24576.r010
	family	associatedWith	24576.r011
	corporateBody	associatedWith	24576.r012
24576.r001	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r002	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r003	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r004	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r005	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r006	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r007	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r008	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r009	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r010	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r011	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
24576.r012	person	associatedWith	24576.c01	ArchivalResource	referencedIn	24576.xml
25287.r001	corporateBody	associatedWith	25287.c01	ArchivalResource	referencedIn	25287.xml
25287.r002	corporateBody	associatedWith	25287.c01	ArchivalResource	referencedIn	25287.xml
25287.r003	corporateBody	associatedWith	25287.c01	ArchivalResource	referencedIn	25287.xml
25287.c01	person	associatedWith	25287.r001	ArchivalResource	creatorOf	25287.xml
	person	associatedWith	25287.r002
	person	associatedWith	25287.r003
24833.c01	person	associatedWith	24833.r001	ArchivalResource	creatorOf	24833.xml
	corporateBody	associatedWith	24833.r002
24833.r001	person	associatedWith	24833.c01	ArchivalResource	referencedIn	24833.xml
24833.r002	person	associatedWith	24833.c01	ArchivalResource	referencedIn	24833.xml
24832.c01				ArchivalResource	creatorOf	24832.xml
25286.c01	person	associatedWith	25286.r001	ArchivalResource	creatorOf	25286.xml
	corporateBody	associatedWith	25286.r002
25286.r001	person	associatedWith	25286.c01	ArchivalResource	referencedIn	25286.xml
25286.r002	person	associatedWith	25286.c01	ArchivalResource	referencedIn	25286.xml
24588.c01	corporateBody	associatedWith	24588.r001	ArchivalResource	creatorOf	24588.xml
24588.r001	person	associatedWith	24588.c01	ArchivalResource	referencedIn	24588.xml
24834.c01				ArchivalResource	creatorOf	24834.xml
28388.c01				ArchivalResource	creatorOf	28388.xml
24264.c01	person	associatedWith	24264.r001	ArchivalResource	creatorOf	24264.xml
24264.r001	person	associatedWith	24264.c01	ArchivalResource	referencedIn	24264.xml
24846.c01	person	associatedWith	24846.r001	ArchivalResource	creatorOf	24846.xml
	person	associatedWith	24846.r002
	person	associatedWith	24846.r003
	corporateBody	associatedWith	24846.r004
	corporateBody	associatedWith	24846.r005
	corporateBody	associatedWith	24846.r006
	corporateBody	associatedWith	24846.r007
	corporateBody	associatedWith	24846.r008
	corporateBody	associatedWith	24846.r009
24846.r001	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r002	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r003	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r004	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r005	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r006	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r007	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r008	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
24846.r009	person	associatedWith	24846.c01	ArchivalResource	referencedIn	24846.xml
